period,expected,difficult,superhuman,total,non_expected_share,mean_score
2023-11,0,0,0,1,0.000000,0.000
2023-12,0,0,0,0,0.000000,0.000
2024-01,0,0,0,0,0.000000,0.000
2024-02,0,0,0,0,0.000000,0.000
2024-03,0,0,0,0,0.000000,0.000
2024-04,0,0,0,0,0.000000,0.000
2024-05,0,0,0,0,0.000000,0.000
2024-06,0,0,0,0,0.000000,0.000
2024-07,0,0,0,0,0.000000,0.000
2024-08,0,0,0,0,0.000000,0.000
2024-09,0,0,0,0,0.000000,0.000
2024-10,0,0,0,0,0.000000,0.000
2024-11,0,0,0,0,0.000000,0.000
2024-12,0,0,0,0,0.000000,0.000
2025-01,0,0,0,0,0.000000,0.000
2025-02,1,0,0,1,0.000000,2.000
2025-03,0,0,0,0,0.000000,0.000
2025-04,0,1,0,1,1.000000,3.000
2025-05,1,0,0,1,0.000000,2.000
2025-06,0,0,0,0,0.000000,0.000
2025-07,0,0,0,0,0.000000,0.000
2025-08,0,2,0,2,1.000000,4.000
2025-09,2,4,0,6,0.666667,3.000
2025-10,0,0,2,3,0.666667,2.667
2025-11,0,4,2,6,1.000000,3.833
2025-12,1,1,0,2,0.500000,2.500
2026-01,0,0,0,1,0.000000,0.000
2026-02,2,2,0,4,0.500000,3.000
2026-03,1,3,2,6,0.833333,3.667
2026-04,2,1,6,13,0.538462,2.615
2026-05,2,9,15,27,0.888889,3.593
2026-06,0,1,0,4,0.250000,1.000
2026-07,9,31,27,75,0.773333,3.480
2026-08,194,166,25,797,0.239649,1.290
2026-09,0,0,0,979,0.000000,0.000
